Player,Tm,Age,MP,WA_z,bucket,salary_25,years,npv,tier,multiplier,npv_effective
Karlo MatkoviÄ,NOP,24,912.0,-0.16833289124356837,min,1955377.0,2,-1030916.8485605898,above_cap_below_tax,1.0,-1030916.8485605898
Josh Green,CHO,25,908.0,-0.43285105175427635,open_negotiation,13666667.0,2,-26656194.39890947,above_cap_below_tax,1.0,-26656194.39890947
Micah Potter,IND,27,908.0,-0.18476259065417128,min,1527805.0,2,-1181381.4651705793,above_cap_below_tax,1.0,-1181381.4651705793
Dwight Powell,DAL,34,904.0,-0.40656353269731155,open_negotiation,4000000.0,1,-3384033.839466662,above_cap_below_tax,1.0,-3384033.839466662
Paul Reed,DET,26,901.0,0.5710035822335655,open_negotiation,5335894.0,2,-1603578.2904983596,above_cap_below_tax,1.0,-1603578.2904983596
Jaylen Clark,MIN,24,888.0,-0.6431512042099945,min,2191897.0,1,-2553736.4889957244,first_apron,2.3,-5873593.924690166
Bryce McGowens,NOP,23,880.0,-0.6875113926186224,rookie_scale,724598.0,3,-7627952.578622591,above_cap_below_tax,1.0,-7627952.578622591
Jonas ValanÄiÅ«nas,DEN,33,871.0,-0.22419386923961854,open_negotiation,10395000.0,2,-17124314.814685076,above_cap_below_tax,1.0,-17124314.814685076
Trendon Watford,PHI,25,864.0,-0.6480801140331753,min,2461463.0,2,-5875631.954339559,above_cap_below_tax,1.0,-5875631.954339559
Julian Strawther,DEN,23,861.0,-0.7088700018524062,rookie_scale,2674200.0,2,-8596129.157923775,above_cap_below_tax,1.0,-8596129.157923775
Jalen Wilson,BRK,25,859.0,-1.2001180142294352,min,2221677.0,1,-4885433.955595388,below_cap,0.5,-2442716.977797694
Caleb Martin,DAL,30,856.0,-0.7302286110861901,open_negotiation,9594044.0,3,-29075813.04462663,above_cap_below_tax,1.0,-29075813.04462663
Kenrich Williams,OKC,31,855.0,-0.27841187729460837,open_negotiation,7163000.0,2,-11653531.10364657,above_cap_below_tax,1.0,-11653531.10364657
Jalen Green,PHO,23,828.0,-0.740086430732552,open_negotiation,33584499.0,3,-103180701.41277304,above_cap_below_tax,1.0,-103180701.41277304
Carter Bryant,SAS,20,818.0,-0.7532301902610344,rookie_scale,4900320.0,4,-26604463.6563821,above_cap_below_tax,1.0,-26604463.6563821
Nikola JoviÄ,MIA,22,808.0,-1.011176471007501,rookie_scale,4445417.0,5,-69661269.82649094,above_cap_below_tax,1.0,-69661269.82649094
Jalen Pickett,DEN,26,807.0,-0.7581591000842152,min,2221677.0,2,-6117917.082540566,above_cap_below_tax,1.0,-6117917.082540566
Keegan Murray,SAC,25,793.0,-0.9339568837776671,open_negotiation,11144093.0,6,-139072700.60429144,above_cap_below_tax,1.0,-139072700.60429144
Aaron Holiday,HOU,29,781.0,-0.6924403024418033,min,2296274.0,1,-2861822.999314278,first_apron,2.3,-6582192.898422839
Jabari Walker,PHI,23,762.0,-0.6431512042099945,rookie_scale,724598.0,2,-3972455.503247163,above_cap_below_tax,1.0,-3972455.503247163
Noah Penda,ORL,21,757.0,-0.6530090238563562,rookie_scale,1272870.0,4,-10568293.210015671,above_cap_below_tax,1.0,-10568293.210015671
Scoot Henderson,POR,21,748.0,-0.7137989116755872,rookie_scale,10748040.0,2,-25237254.047754392,above_cap_below_tax,1.0,-25237254.047754392
Thomas Bryant,CLE,28,732.0,-0.3227720657032364,min,2296274.0,1,-1334001.6719251198,second_apron,3.1,-4135405.1829678714
